team,short_range_fgm,short_range_fga,short_range_fg_pct,mid_range_fgm,mid_range_fga,mid_range_fg_pct,long_range_fgm,long_range_fga,long_range_fg_pct,three_range_fgm,three_range_fga,three_range_fg_pct,season
Miami Heat,20.2,33.5,60.2,4.5,11.8,38.4,7.2,17,42.6,5.8,15.2,38,2004
Milwaukee Bucks,17.9,34,52.5,6.8,17,40.3,7.5,18,41.6,4,11.1,35.6,2004
Minnesota Timberwolves,14.7,25.9,56.7,7.6,18,42.2,10,23,43.6,4.8,13.8,35.1,2004
New Jersey Nets,14.4,28.4,50.7,4.3,11.8,36.7,9.5,23.4,40.7,5.3,14.5,36.7,2004
New Orleans Hornets,15,29.4,51.1,4.6,12.3,37.4,8.5,22.2,38.1,5,15.9,31.7,2004
New York Knicks,17.5,32.2,54.3,5.2,13,40.2,8.2,20.2,40.7,5.4,14.8,36.3,2004
Orlando Magic,18.1,32.7,55.5,6,15.1,39.5,9,22.5,40,3.9,11,35.3,2004
Philadelphia 76ers,18.4,33.9,54.2,4.6,13,35.1,6.8,17.5,39,6.2,17.6,35,2004
Phoenix Suns,19.2,31.7,60.4,5.9,14.4,40.8,6.1,14.8,41.5,9.7,24.3,39.8,2004
Portland Trail Blazers,19.7,36,54.7,4.1,11.5,35.7,6.4,16.7,38.5,5.1,13.9,36.4,2004
Sacramento Kings,17.2,30.1,57,3.6,9.3,38.9,11.9,28.6,41.5,6.4,16.9,37.8,2004
San Antonio Spurs,19.7,35.3,55.9,4.7,12.8,37,5,13.6,36.9,6.1,16.7,36.6,2004
Seattle SuperSonics,17.1,31.8,53.8,4.9,12.2,40.2,5,13.1,38.5,8.1,22,36.9,2004
Toronto Raptors,16,30.4,52.6,5.4,13.6,40,6.7,16.7,40.2,7.9,20.2,38.9,2004
Utah Jazz,17,30.9,55,4.8,12.6,37.8,9.7,24.2,40.2,3,8.9,33.4,2004
Washington Wizards,18.7,34.7,54,4.4,12.8,34.4,6.8,17.1,39.6,6.2,18,34.6,2004
Atlanta Hawks,17.1,32.9,51.9,5.6,15.1,37.1,6.7,16.3,40.9,5.1,15.2,33.7,2003
Boston Celtics,16.2,29.9,54.2,4.4,11.5,38.6,7.3,17.4,42,6.7,19.3,34.9,2003
Chicago Bulls,15.6,31.1,50.4,5.1,14.7,34.7,8.1,21.3,38.2,5.2,15.1,34.6,2003
Cleveland Cavaliers,19.1,36.7,52,7.6,19.9,38.2,6,16.2,36.8,3,9.4,32,2003
Dallas Mavericks,20.3,36.2,56.2,6.2,14.9,41.8,7.8,19.3,40.2,6.2,17.5,35.3,2003
Denver Nuggets,19.5,35.2,55.5,4.8,12.9,37,8.2,22.3,36.6,4,11.9,33.9,2003
Detroit Pistons,17.8,34.1,52.2,6.5,17.4,37.4,5.1,13.8,37.4,4.1,11.7,34.7,2003
Golden State Warriors,18.9,34.9,54.1,4.1,11.6,35.2,6.9,17.3,39.9,5.2,15.4,33.9,2003
Houston Rockets,15,28.2,53.2,5.8,14.3,40.5,6.4,16,39.7,6.3,16.8,37.2,2003
Indiana Pacers,16,30.6,52.3,5.9,15.8,37.6,6.2,15.1,40.8,5.5,15.5,35.4,2003
Los Angeles Clippers,19.2,36.3,53,5,13.9,35.7,6.1,17.5,35,4,12.3,32.5,2003
Los Angeles Lakers,20.3,35,57.9,4.9,13.5,36.2,7.3,19.3,37.9,4.4,13.4,33.2,2003
Memphis Grizzlies,21.1,38.8,54.3,3.7,10.9,34.1,5.9,15.5,38.2,5.4,15.7,34.5,2003
Miami Heat,16.3,31.2,52.1,4.2,12.4,33.9,6.9,18.1,38.2,5.9,16.2,36.3,2003
Milwaukee Bucks,18.7,34.7,53.9,7,17.9,39.3,5.6,14.5,38.4,4.9,13.8,35.4,2003
Minnesota Timberwolves,13.9,24.6,56.5,8.8,20.5,42.8,10.4,24.1,43.1,3.9,10.7,36.9,2003
New Jersey Nets,17.9,32.1,55.7,3.9,11.2,35.2,7.9,20.8,38,4.6,13.5,34.1,2003
New Orleans Hornets,16,30.6,52.5,4.7,12.8,36.7,6.6,16.8,39.1,6.5,20.1,32.1,2003
New York Knicks,15.2,29.2,52.1,7.5,17.8,42.2,7.4,18.8,39.6,5,13.4,37,2003
Orlando Magic,15,29.5,50.9,6.1,15.3,40,9.1,22.6,40.3,5.2,15.1,34.5,2003
Philadelphia 76ers,16.3,31.2,52.2,6,16.6,35.9,6.3,16.5,38.5,4.1,12,34.5,2003
Phoenix Suns,18.9,33.8,56,5.8,15.8,36.4,6.4,17.1,37.1,5.1,14.4,35.1,2003
Portland Trail Blazers,18.3,33.9,54.1,5.9,14.4,41.2,6.5,17.2,37.5,4.6,13.2,35,2003
Sacramento Kings,17.4,31.2,55.8,3.3,9.2,36.3,9.8,23.2,42.1,7.3,18,40.7,2003
San Antonio Spurs,18.4,34.2,53.7,5.5,14.6,37.3,5.8,15.7,37,5,13.7,36.2,2003
Seattle SuperSonics,16.6,29.6,56.1,4.9,12.5,38.8,5.6,14.7,38,8.8,23.3,37.7,2003
Toronto Raptors,13.9,26.1,53.2,5.2,14.9,35.2,7.6,20.6,36.8,5.6,15.6,35.9,2003
Utah Jazz,16.5,31.6,52.2,3.4,9.5,36.3,9.8,24.7,39.6,3.1,9.3,32.8,2003
Washington Wizards,17.9,34.6,51.5,4.4,12.8,34.4,6.1,17.1,35.7,5.3,15.4,34.5,2003
Atlanta Hawks,15.8,30.1,52.5,7.3,17.6,41.2,6.9,16.8,41.1,4.9,13.7,35.7,2002
Boston Celtics,15.6,29.3,53.3,4.1,11.8,34.6,4.5,12,37.3,8.7,26,33.6,2002
Chicago Bulls,19.8,36.7,53.9,5.9,15.8,37.2,6.6,17.2,38.1,4.2,12,35.5,2002
Cleveland Cavaliers,18,34.8,51.8,6.8,18.8,36.1,6.4,17.8,35.9,3.5,10.5,33.7,2002
Dallas Mavericks,16.7,29.6,56.2,6.1,14.7,41.7,8,20.6,39.1,7.7,20.1,38.3,2002
Denver Nuggets,17.4,34.9,49.9,4.8,13.2,36.1,7.8,21.7,36.1,2.8,9.9,28.1,2002
Detroit Pistons,14.5,27.3,52.9,5.4,14.4,37.6,6.6,16.7,39.3,6.5,18,36.1,2002
Golden State Warriors,19.9,37.6,53,5.2,13.3,39.4,7,18.7,37.3,5.2,14.9,34.8,2002
Houston Rockets,17.5,31.9,54.8,5.1,13.5,37.5,6.8,18,37.6,5.3,15.1,35.1,2002
Indiana Pacers,17.3,31.6,54.8,6.4,17.1,37.4,7.2,18.2,39.2,4.6,13.5,34.2,2002
Los Angeles Clippers,19.5,36.1,53.9,5.2,15.2,34.4,5.1,13.5,38.1,4.8,14.1,33.8,2002
Los Angeles Lakers,18.9,32.9,57.4,5.3,15.3,35,7.6,18.9,40.4,5.9,16.4,35.9,2002
Memphis Grizzlies,19.1,34.5,55.2,5.3,14.2,37.1,7.2,18,39.9,5.7,15.4,37,2002
Miami Heat,13.9,27.1,51.4,5.7,15.3,37.1,9,23.7,37.7,4.2,13.1,32.3,2002
Milwaukee Bucks,16.1,29.1,55.5,8,19.2,41.8,5.8,14.4,40.3,7.1,18.4,38.7,2002
Minnesota Timberwolves,17,29.7,57.1,6.8,16.4,41.2,11.3,27.1,41.8,3.6,9.7,37.1,2002
New Jersey Nets,19.2,34.8,55.1,4.5,12.2,37,7.6,20.7,36.5,4.2,12.5,33.8,2002
New Orleans Hornets,15.9,30.7,51.6,7.3,18.1,40.3,7.4,19.7,37.7,4.9,13,37.8,2002
New York Knicks,13,25.3,51.4,8.5,19.3,44,7.4,18.2,40.4,7.4,19.1,38.6,2002
Orlando Magic,15.4,29,53.2,3.7,9.8,37.5,10,24.4,40.8,6.9,19.2,36,2002
Philadelphia 76ers,20.7,37.7,54.8,6.1,17.4,35.4,6.5,16.3,39.8,3,9.5,31.4,2002
Phoenix Suns,18.8,35.4,53.2,6,15.6,38.4,7,17.6,39.8,4.8,13.7,34.8,2002
Portland Trail Blazers,19.8,34.5,57.3,5.6,13.6,41.5,6.4,17.1,37.4,4.6,13.6,33.7,2002
Sacramento Kings,19.4,33.5,57.8,4.1,11.1,36.8,10.2,25,40.6,6,15.3,38.9,2002
San Antonio Spurs,20.1,35.5,56.6,5.2,13.3,39.5,4.7,12.5,37.3,5.5,15.3,35.6,2002
Seattle SuperSonics,16.5,30.9,53.4,5.8,13.7,42.1,7.4,20.1,36.7,5.5,15.6,35.6,2002
Toronto Raptors,16.1,30.2,53.3,5.7,15.2,37.2,8,21.4,37.4,5,14.4,34.7,2002
Utah Jazz,18.3,31.6,57.8,4.8,12.6,37.7,9.5,23.5,40.6,2.7,7.6,35.6,2002
Washington Wizards,13.6,25.8,52.7,7.5,18.2,41.3,10.2,24.1,42.2,3.1,9.9,31.3,2002
